employee_id,cost_center,punch_in_time,punch_out_time,punch_apply_date,hours_worked,paycode
1377208,53410,,,2021-04-23,1,CHARGE
1377208,53410,2021-04-23 14:10:00,2021-04-23 18:45:00,2021-04-23,4.6,WRK
1377208,53410,,,2021-04-23,0.7,BREAK
1377208,53410,2021-04-23 19:24:00,2021-04-23 22:10:00,2021-04-23,2.8,WRK
1672200,11151,,,2021-04-23,5,ON_CALL
1672200,11151,2021-04-23 6:12:00,2021-04-23 9:12:00,2021-04-23,3,WRK
1977006,54013,,,2021-04-23,8,ABSENT
3974506,31288,,,2021-04-23,8,ABSENT
4019778,54013,2021-04-23 6:05:00,2021-04-23 9:44:00,2021-04-23,3.7,WRK
4019778,54013,,,2021-04-23,0.8,BREAK
4019778,54013,2021-04-23 10:32:00,2021-04-23 14:05:00,2021-04-23,3.5,WRK
4024378,55050,2021-04-23 14:14:00,2021-04-23 16:52:00,2021-04-23,2.6,WRK
4024378,55050,,,2021-04-23,0.9,BREAK
4024378,55050,2021-04-23 17:45:00,2021-04-23 22:14:00,2021-04-23,4.5,WRK
5001188,54013,,,2021-04-23,5,ON_CALL
5001188,54013,2021-04-23 14:19:00,2021-04-23 17:19:00,2021-04-23,3,WRK
5001252,53410,,,2021-04-23,7,ON_CALL
5001252,53410,2021-04-23 14:17:00,2021-04-23 15:17:00,2021-04-23,1,WRK
5005963,51120,,,2021-04-23,8,ABSENT
5009770,51100,,,2021-04-23,8,ABSENT
5010823,53410,,,2021-04-23,8,ABSENT
5010831,55050,,,2021-04-23,7,ON_CALL
5010831,55050,2021-04-23 14:10:00,2021-04-23 15:10:00,2021-04-23,1,WRK
5010836,55050,,,2021-04-23,6,ON_CALL
5010836,55050,2021-04-23 6:15:00,2021-04-23 8:15:00,2021-04-23,2,WRK
5011015,55050,,,2021-04-23,6,ON_CALL
5011015,55050,2021-04-23 14:08:00,2021-04-23 16:08:00,2021-04-23,2,WRK
5011018,51100,,,2021-04-23,6,ON_CALL
5011018,51100,2021-04-23 14:10:00,2021-04-23 16:10:00,2021-04-23,2,WRK
5011060,55050,,,2021-04-23,8,ABSENT
5011105,11151,,,2021-04-23,2,CHARGE
5011105,11151,2021-04-23 14:14:00,2021-04-23 16:45:00,2021-04-23,2.5,WRK
5011105,11151,,,2021-04-23,0.6,BREAK
5011105,11151,2021-04-23 17:23:00,2021-04-23 22:14:00,2021-04-23,4.8,WRK
5011401,55050,2021-04-23 6:19:00,2021-04-23 8:56:00,2021-04-23,2.6,WRK
5011401,55050,,,2021-04-23,0.7,BREAK
5011401,55050,2021-04-23 9:36:00,2021-04-23 14:19:00,2021-04-23,4.7,WRK
5011499,31288,2021-04-23 6:09:00,2021-04-23 8:58:00,2021-04-23,2.8,WRK
5011499,31288,,,2021-04-23,0.7,BREAK
5011499,31288,2021-04-23 9:42:00,2021-04-23 14:09:00,2021-04-23,4.5,WRK
5011633,53410,,,2021-04-23,6,ON_CALL
5011633,53410,2021-04-23 14:19:00,2021-04-23 16:19:00,2021-04-23,2,WRK
5012159,51120,,,2021-04-23,5,ON_CALL
5012159,51120,2021-04-23 14:09:00,2021-04-23 17:09:00,2021-04-23,3,WRK
5012163,31288,,,2021-04-23,6,ON_CALL
5012163,31288,2021-04-23 14:09:00,2021-04-23 16:09:00,2021-04-23,2,WRK
5012165,31288,,,2021-04-23,5,ON_CALL
5012165,31288,2021-04-23 14:10:00,2021-04-23 17:10:00,2021-04-23,3,WRK
5012329,18048,,,2021-04-23,6,ON_CALL
5012329,18048,2021-04-23 14:06:00,2021-04-23 16:06:00,2021-04-23,2,WRK
1672200,11151,,,2021-04-24,8,ABSENT
4019778,54013,,,2021-04-24,8,ABSENT
4024378,55050,,,2021-04-24,7,ON_CALL
4024378,55050,2021-04-24 14:11:00,2021-04-24 15:11:00,2021-04-24,1,WRK
5001188,54013,,,2021-04-24,8,ABSENT
5001252,53410,,,2021-04-24,8,ABSENT
5005963,51120,,,2021-04-24,8,ABSENT
5010823,53410,,,2021-04-24,8,ABSENT
5010831,55050,,,2021-04-24,1,CHARGE
5010831,55050,2021-04-24 14:00:00,2021-04-24 19:50:00,2021-04-24,5.8,WRK
5010831,55050,,,2021-04-24,0.8,BREAK
5010831,55050,2021-04-24 20:36:00,2021-04-24 22:00:00,2021-04-24,1.4,WRK
5010836,55050,,,2021-04-24,8,ABSENT
5011015,55050,,,2021-04-24,8,ABSENT
5011018,51100,,,2021-04-24,8,ABSENT
5011060,55050,,,2021-04-24,1,CHARGE
5011060,55050,2021-04-24 6:11:00,2021-04-24 9:42:00,2021-04-24,3.5,WRK
5011060,55050,,,2021-04-24,0.7,BREAK
5011060,55050,2021-04-24 10:26:00,2021-04-24 14:11:00,2021-04-24,3.8,WRK
5011105,11151,,,2021-04-24,8,ABSENT
5011110,31288,,,2021-04-24,8,ABSENT
5011147,51120,,,2021-04-24,5,ON_CALL
5011147,51120,2021-04-24 14:03:00,2021-04-24 17:03:00,2021-04-24,3,WRK
5011401,55050,,,2021-04-24,8,ABSENT
5011499,31288,,,2021-04-24,8,ABSENT
5011633,53410,2021-04-24 6:17:00,2021-04-24 8:49:00,2021-04-24,2.5,WRK
5011633,53410,,,2021-04-24,1,BREAK
